Zone de santé;"Code
Zone de santé";Severite;PIN;PIN Severite;Cibles;Cibles severite
Bandalungwa;CD1000ZS01;0;0;0;0;0
Barumbu;CD1000ZS02;0;0;0;0;0
Binza Meteo;CD1000ZS03;0;0;0;0;0
Binza Ozone;CD1000ZS04;0;0;0;0;0
Biyela;CD1000ZS05;0;0;0;0;0
Bumbu;CD1000ZS06;0;0;0;0;0
Gombe;CD1000ZS07;0;0;0;0;0
Kalamu I;CD1000ZS08;0;0;0;0;0
Kalamu II;CD1000ZS09;0;0;0;0;0
Kasa-Vubu;CD1000ZS10;0;0;0;0;0
Kikimi;CD1000ZS11;0;0;0;0;0
Kimbanseke;CD1000ZS12;0;0;0;0;0
Kingabwa;CD1000ZS13;0;0;0;0;0
Kingasani;CD1000ZS14;0;0;0;0;0
Kinshasa;CD1000ZS15;0;0;0;0;0
Kintambo;CD1000ZS16;0;0;0;0;0
Kisenso;CD1000ZS17;0;0;0;0;0
Kokolo;CD1000ZS18;0;0;0;0;0
Lemba;CD1000ZS19;0;0;0;0;0
Limete;CD1000ZS20;0;0;0;0;0
Lingwala;CD1000ZS21;0;0;0;0;0
Makala;CD1000ZS22;0;0;0;0;0
Maluku I;CD1000ZS23;0;0;0;0;0
Maluku II;CD1000ZS24;0;0;0;0;0
Masina I;CD1000ZS25;0;0;0;0;0
Masina II;CD1000ZS26;0;0;0;0;0
Matete;CD1000ZS27;0;0;0;0;0
Mont Ngafula I;CD1000ZS28;0;0;0;0;0
Mont Ngafula II;CD1000ZS29;0;0;0;0;0
Ndjili;CD1000ZS30;0;0;0;0;0
Ngaba;CD1000ZS31;0;0;0;0;0
Ngiri-Ngiri;CD1000ZS32;0;0;0;0;0
Nsele;CD1000ZS33;0;0;0;0;0
Police;CD1000ZS34;0;0;0;0;0
Selembao;CD1000ZS35;0;0;0;0;0
Matadi;CD2001ZS01;0;0;0;0;0
Nzanza;CD2001ZS02;0;0;0;0;0
Boma;CD2002ZS01;0;0;0;0;0
Boma Bungu;CD2003ZS01;0;0;0;0;0
Kitona;CD2003ZS02;0;0;0;0;0
Moanda;CD2003ZS03;0;0;0;0;0
Kangu;CD2005ZS01;0;0;0;0;0
Lukula;CD2005ZS02;0;0;0;0;0
Kinkonzi;CD2007ZS01;0;0;0;0;0
Kizu;CD2007ZS02;0;0;0;0;0
Kuimba;CD2007ZS03;0;0;0;0;0
Tshela;CD2007ZS04;0;0;0;0;0
Vaku;CD2007ZS05;0;0;0;0;0
Inga;CD2009ZS01;0;0;0;0;0
Seke-Banza;CD2009ZS02;0;0;0;0;0
Kibunzi;CD2010ZS01;0;0;0;0;0
Luozi;CD2010ZS02;0;0;0;0;0
Mangembo;CD2010ZS03;0;0;0;0;0
Kimpese;CD2011ZS01;0;0;0;0;0
Nsona-Mpangu;CD2011ZS02;0;0;0;0;0
Boko-Kivulu;CD2013ZS01;0;0;0;0;0
Gombe-Matadi;CD2013ZS02;0;0;0;0;0
Kimpangu;CD2013ZS03;0;0;0;0;0
Kwilu-Ngongo;CD2013ZS04;0;0;0;0;0
Mbanza-Ngungu;CD2013ZS05;0;0;0;0;0
Masa;CD2015ZS01;0;0;0;0;0
Sona-Bata;CD2015ZS02;0;0;0;0;0
Kisantu;CD2017ZS01;0;0;0;0;0
Ngidinga;CD2017ZS02;0;0;0;0;0
Nselo;CD2017ZS03;0;0;0;0;0
Kimvula;CD2019ZS01;0;0;0;0;0
Boko;CD3102ZS01;0;0;0;0;0
Kenge;CD3102ZS02;0;0;0;0;0
Kimbau;CD3102ZS03;0;0;0;0;0
Feshi;CD3103ZS01;3;0;0;0;0
Kisanji;CD3103ZS02;0;0;0;0;0
Mwela Lembwa;CD3103ZS03;0;0;0;0;0
Kahemba;CD3105ZS01;0;0;0;0;0
Kajiji;CD3105ZS02;0;0;0;0;0
Kasongo Lunda;CD3106ZS01;0;0;0;0;0
Kitenda;CD3106ZS02;0;0;0;0;0
Panzi;CD3106ZS03;0;0;0;0;0
Tembo;CD3106ZS04;0;0;0;0;0
Wamba Lwadi;CD3106ZS05;0;0;0;0;0
Popokabaka;CD3108ZS01;0;0;0;0;0
Bandundu;CD3201ZS01;0;0;0;0;0
Bagata;CD3202ZS01;0;0;0;0;0
Kikongo;CD3202ZS02;0;0;0;0;0
Sia;CD3202ZS03;0;0;0;0;0
Kikwit-Nord;CD3203ZS01;5;0;0;0;0
Kikwit-Sud;CD3203ZS02;0;0;0;0;0
Bulungu;CD3204ZS01;0;0;0;0;0
Djuma;CD3204ZS02;0;0;0;0;0
Lusanga;CD3204ZS03;0;0;0;0;0
Pay Kongila;CD3204ZS04;0;0;0;0;0
Vanga;CD3204ZS05;0;0;0;0;0
Idiofa;CD3206ZS01;0;0;0;0;0
Ipamu;CD3206ZS02;0;0;0;0;0
Kimputu;CD3206ZS03;0;0;0;0;0
Koshibanda;CD3206ZS04;0;0;0;0;0
Mokala;CD3206ZS05;0;0;0;0;0
Mungindu;CD3206ZS06;0;0;0;0;0
Gungu;CD3210ZS01;3;0;0;0;0
Kingandu;CD3210ZS02;0;0;0;0;0
Mukedi;CD3210ZS03;0;0;0;0;0
Masi-Manimba;CD3212ZS01;0;0;0;0;0
Moanza;CD3212ZS02;0;0;0;0;0
Mosango;CD3212ZS03;0;0;0;0;0
Yasa-Bonga;CD3212ZS04;0;0;0;0;0
Banjow Moke;CD3302ZS01;0;0;0;0;0
Inongo;CD3302ZS02;0;0;0;0;0
Ntandembelo;CD3302ZS03;0;0;0;0;0
Kiri;CD3303ZS01;0;0;0;0;0
Penjwa;CD3303ZS02;0;0;0;0;0
Bosobe;CD3304ZS01;0;0;0;0;0
Mimia;CD3304ZS02;0;0;0;0;0
Oshwe;CD3304ZS03;0;0;0;0;0
Bokoro;CD3306ZS01;0;0;0;0;0
Nioki;CD3306ZS02;0;0;0;0;0
Kwamouth;CD3307ZS01;0;0;0;0;0
Bolobo;CD3308ZS01;0;0;0;0;0
Yumbi;CD3310ZS01;3;38619;38619;10801;10801
Mushie;CD3311ZS01;0;0;0;0;0
Bolenge;CD4101ZS01;0;0;0;0;0
Mbandaka;CD4101ZS02;0;0;0;0;0
Wangata;CD4101ZS03;0;0;0;0;0
Bikoro;CD4102ZS01;0;0;0;0;0
Iboko;CD4102ZS02;0;0;0;0;0
Ntondo;CD4102ZS03;0;0;0;0;0
Irebu;CD4103ZS01;0;0;0;0;0
Lukolela;CD4103ZS02;0;0;0;0;0
Bomongo;CD4104ZS01;0;0;0;0;0
Lilanga Bobangi;CD4104ZS02;0;0;0;0;0
Makanza;CD4105ZS01;0;0;0;0;0
Basankusu;CD4107ZS01;0;0;0;0;0
Djombo;CD4107ZS02;0;0;0;0;0
Bolomba;CD4108ZS01;0;0;0;0;0
Lolanga Mampoko;CD4108ZS02;0;0;0;0;0
Monieka;CD4108ZS03;0;0;0;0;0
Ingende;CD4109ZS01;0;0;0;0;0
Lotumbe;CD4109ZS02;0;0;0;0;0
Bogosenubia;CD4202ZS01;0;0;0;0;0
Bominenge;CD4202ZS02;0;0;0;0;0
Bwamanda;CD4202ZS03;0;0;0;0;0
Gemena;CD4202ZS04;0;0;0;0;0
