list_name;name;label_french;province;zonesante
fi3rk24;nations_unies;Nations Unies;;
fi3rk24;ong_internatio;ONG Internationale;;
fi3rk24;ong_nationale;ONG nationale;;
fi3rk24;mouvement_croi;Mouvement croix rouge;;
fi3rk24;gouvernement;Gouvernement;;
fi3rk24;autres;Autres;;
jr35f84;option_1;ECHO;;
jr35f84;option_2;CERF;;
jr35f84;option_3;UNICEF;;
jr35f84;option_4;UNHCR;;
jr35f84;option_5;UNHCR/CERF;;
jr35f84;pooled_fund;Fond Humanitaire;;
jr35f84;bprm;BPRM;;
jr35f84;usaid_ofda;USAID/OFDA;;
jr35f84;dfid;DFID (Royaume Uni);;
jr35f84;canada;Cooperation canadienne;;
jr35f84;autres;Autres;;
province;bas uele;Bas Uele;;
province;equateur;Equateur;;
province;haut katanga;Haut Katanga;;
province;haut lomami;Haut Lomami;;
province;haut uele;Haut Uele;;
province;ituri;Ituri;;
province;kasai;Kasai;;
province;kasai central;Kasai Central;;
province;kasai oriental;Kasai Oriental;;
province;kinshasa;Kinshasa;;
province;kongo central;Kongo Central;;
province;kwango;Kwango;;
province;kwilu;Kwilu;;
province;lomami;Lomami;;
province;lualaba;Lualaba;;
province;mai ndombe;Mai Ndombe;;
province;maniema;Maniema;;
province;mongala;Mongala;;
province;nord kivu;Nord Kivu;;
province;nord ubangi;Nord Ubangi;;
province;sankuru;Sankuru;;
province;sud kivu;Sud Kivu;;
province;sud ubangi;Sud Ubangi;;
province;tanganyika;Tanganyika;;
province;tshopo;Tshopo;;
province;tshuapa;Tshuapa;;
zonesante;aba;Aba;haut uele;
zonesante;abuzi;Abuzi;nord ubangi;
zonesante;adi;Adi;ituri;
zonesante;adja;Adja;ituri;
zonesante;aketi;Aketi;bas uele;
zonesante;alimbongo;Alimbongo;nord kivu;
zonesante;alunguli;Alunguli;maniema;
zonesante;ango;Ango;bas uele;
zonesante;angumu;Angumu;ituri;
zonesante;ankoro;Ankoro;tanganyika;
zonesante;ariwara;Ariwara;ituri;
zonesante;aru;Aru;ituri;
zonesante;aungba;Aungba;ituri;
zonesante;bafwagbogbo;Bafwagbogbo;tshopo;
zonesante;bafwasende;Bafwasende;tshopo;
zonesante;bagata;Bagata;kwilu;
zonesante;bagira;Bagira;sud kivu;
zonesante;baka;Baka;haut lomami;
zonesante;bambo;Bambo;nord kivu;
zonesante;bambu;Bambu;ituri;
zonesante;banalia;Banalia;tshopo;
zonesante;bandalungwa;Bandalungwa;kinshasa;
zonesante;bandundu;Bandundu;kwilu;
zonesante;banga lubaka;Banga Lubaka;kasai;
zonesante;bangabola;Bangabola;sud ubangi;
zonesante;banzow moke;Banzow Moke;mai ndombe;
zonesante;barumbu;Barumbu;kinshasa;
zonesante;basali;Basali;tshopo;
zonesante;basankusu;Basankusu;equateur;
zonesante;basoko;Basoko;tshopo;
zonesante;befale;Befale;tshuapa;
zonesante;bena dibele;Bena Dibele;sankuru;
zonesante;bena leka;Bena Leka;kasai central;
zonesante;bena tshadi;Bena Tshadi;kasai central;
zonesante;bengamisa;Bengamisa;tshopo;
zonesante;beni;Beni;nord kivu;
zonesante;bibanga;Bibanga;kasai oriental;
zonesante;biena;Biena;nord kivu;
zonesante;bikoro;Bikoro;equateur;
zonesante;bili;Bili;bas uele;
zonesante;bili;Bili;nord ubangi;
zonesante;bilomba;Bilomba;kasai central;
zonesante;binga;Binga;mongala;
zonesante;binza;Binza;nord kivu;
zonesante;binza meteo;Binza Meteo;kinshasa;
zonesante;binza ozone;Binza Ozone;kinshasa;
zonesante;bipemba;Bipemba;kasai oriental;
zonesante;birambizo;Birambizo;nord kivu;
zonesante;biringi;Biringi;ituri;
zonesante;biyela;Biyela;kinshasa;
zonesante;bobozo;Bobozo;kasai central;
zonesante;boende;Boende;tshuapa;
zonesante;boga;Boga;ituri;
zonesante;bogosenubea;Bogosenubea;sud ubangi;
zonesante;boko;Boko;kwango;
zonesante;boko kivulu;Boko Kivulu;kongo central;
zonesante;bokonzi;Bokonzi;sud ubangi;
zonesante;bokoro;Bokoro;mai ndombe;
zonesante;bokungu;Bokungu;tshuapa;
zonesante;bolenge;Bolenge;equateur;
zonesante;bolobo;Bolobo;mai ndombe;
zonesante;bolomba;Bolomba;equateur;
zonesante;boma;Boma;kongo central;
zonesante;boma bungu;Boma Bungu;kongo central;
zonesante;boma mangbetu;Boma Mangbetu;haut uele;
zonesante;bominenge;Bominenge;sud ubangi;
zonesante;bomongo;Bomongo;equateur;
zonesante;bondo;Bondo;bas uele;
zonesante;bongandanga;Bongandanga;mongala;
zonesante;bonzola;Bonzola;kasai oriental;
zonesante;boso manzi;Boso Manzi;mongala;
zonesante;boso mondanda;Boso Mondanda;mongala;
zonesante;bosobe;Bosobe;mai ndombe;
zonesante;bosobolo;Bosobolo;nord ubangi;
zonesante;bosondjo;Bosondjo;mongala;
zonesante;boto;Boto;sud ubangi;
zonesante;budjala;Budjala;sud ubangi;
zonesante;bukama;Bukama;haut lomami;
zonesante;bulape;Bulape;kasai;
zonesante;bulu;Bulu;sud ubangi;
zonesante;bulungu;Bulungu;kwilu;
zonesante;bumba;Bumba;mongala;
zonesante;bumbu;Bumbu;kinshasa;
zonesante;bunia;Bunia;ituri;
zonesante;bunkeya;Bunkeya;lualaba;
zonesante;bunkonde;Bunkonde;kasai central;
zonesante;bunyakiri;Bunyakiri;sud kivu;
zonesante;busanga;Busanga;tshuapa;
zonesante;businga;Businga;nord ubangi;
zonesante;buta;Buta;bas uele;
zonesante;butembo;Butembo;nord kivu;
zonesante;butumba;Butumba;haut lomami;
zonesante;bwamanda;Bwamanda;sud ubangi;
