today;Acteur_Organisation_de_mise_en_uvre;Type_organisation;Bailleurs_de_fonds;Si_le_bailleur_est_autres_specifiez;province;zonesante;airesante;Titre_du_projet;menages_projet;femmes_projet;hommes_projet;enfants_projet;adultes_projet;vieux_projet;calculation;montant;devise_projet;si_devise_projet_autre;Indicateurs;Indicateurs/assistance_en_;Indicateurs/assistance_en__1;Indicateurs/accompagnement;Indicateurs/assistance_ave;Indicateurs/assistance_en__2;Indicateurs/assistance_en__3;Indicateurs/assistance_en__4;Indicateurs/assistance_en__5;Indicateurs/construction_r;Indicateurs/int_gration_de;Indicateurs/appui_en_b_che;Statut;modalite;M_canisme_de_distribution_espece;M_canisme_de_distrib_oupon_march_ouvert;M_canisme_de_distribution_coupon_foire;Mecanisme_de_distribution_mix;Mecanisme_de_distribution_mix/nature;Mecanisme_de_distribution_mix/especes__direc;Mecanisme_de_distribution_mix/especes_agence_m;Mecanisme_de_distribution_mix/compte_bancair_m;Mecanisme_de_distribution_mix/cheque_m;Mecanisme_de_distribution_mix/carte_retrait_m;Mecanisme_de_distribution_mix/carte_prepayee_m;Mecanisme_de_distribution_mix/argent_mobile_m;Mecanisme_de_distribution_mix/coupon_papier;Mecanisme_de_distribution_mix/coupon_electro;Mecanisme_de_distribution_mix/autre;Type_de_transfert;Nom_du_fournisseur_d_services_financiers;Focal_point_pour_le_rapport;Email;T_l_phone;__version__;_id;_uuid;_submission_time;_validation_status;_index;type_de_b_n_ficiaires;type_de_b_n_ficiaires.d_plac_s_inter;type_de_b_n_ficiaires.retourn_s;type_de_b_n_ficiaires.relocalis_s;type_de_b_n_ficiaires.expuls_s;type_de_b_n_ficiaires.familles_d_acc;type_de_b_n_ficiaires.rapatri_s_spon;type_de_b_n_ficiaires.rapatri_s_orga;type_de_b_n_ficiaires.autochtones_vu;type_de_b_n_ficiaires.victimes_de_ca
09/09/2019;ACTED;ong_internatio;pooled_fund;;mai ndombe;yumbi;bongende;Réponse en abris en faveur des populations affectées par la crise dans la zone de santé de Yumbi;718;818;776;1224;3084;320;1594;730000;$US_projet;;assistance_en__1;0;1;0;0;0;0;0;0;0;0;0;planifi;;;;;;;;;;;;;;;;;;;Laschoni SOKI;kinshasa.reporting@acted.org;2,44E+11;vBi33PnLtfSLCFW7wLUgsr;6863005;f2d54080-421a-445e-8c22-ecca936387ba;2019-09-09T14:46:31;;1;;;;;;;;;;
13/06/2019;AIDES;ong_nationale;pooled_fund;;nord kivu;oicha;mabasele;Appui multisectoriel aux communautés vulnérables affectées par les conflits dans les villes de Beni et Oicha;350;1798;1745;2468;955;120;7086;822239;$US_projet;;assistance_en__1 accompagnement assistance_en__5 construction_r;0;1;1;0;0;0;0;1;1;0;0;planifi;;;;;;;;;;;;;;;;;;;Paulin KALENGA;"aidesgoma@yahoo.fr; kalenga.p@aidesong.org";994021215;vBi33PnLtfSLCFW7wLUgsr;6031910;d8eff45b-2fe7-4efa-8c95-c7200e971e63;2019-06-14T10:58:33;validation_status_approved;2;d_plac_s_inter;1;0;0;0;0;0;0;0;0
14/06/2019;AIDES;ong_nationale;pooled_fund;;nord kivu;oicha;tenambo;Appui multisectoriel aux communautés vulnérables affectées par les conflits dans les villes de Beni et Oicha;350;1798;1745;2468;955;120;7086;822239;$US_projet;;assistance_en__1 accompagnement assistance_en__5 construction_r;0;1;1;0;0;0;0;1;1;0;0;planifi;;;;;;;;;;;;;;;;;;;PAULIN KALENGA;"aidesgoma@yahoo.fr; kalenga.p@aidesong.org";994021215;vBi33PnLtfSLCFW7wLUgsr;6031945;38a80562-6c14-4aab-959b-6b26573d5786;2019-06-14T11:08:28;validation_status_approved;3;d_plac_s_inter retourn_s;1;1;0;0;0;0;0;0;0
14/06/2019;ORGANISATION INTERNATIONALE POUR LES MIGRATIONS;nations_unies;autres;SUEDE (SIDA);tanganyika;kalemie;nyemba;CCCM, direct life-saving and protection assistance for affected populations in displacement sites in Eastern DRC;1000;600;400;;;;1000;;;;assistance_en_ accompagnement assistance_en__2 construction_r appui_en_b_che;1;0;1;0;1;0;0;0;1;0;1;compl_t;nature;;;;;;;;;;;;;;;;;;WIVINE LAURE MWAMINI;wmwamini@iom.int;810148065;vBi33PnLtfSLCFW7wLUgsr;6031996;1722916e-a202-4334-b71a-c9eae7db6b0c;2019-06-14T11:21:44;;4;d_plac_s_inter;1;0;0;0;0;0;0;0;0
14/06/2019;ORGANISATION INTERNATIONALE POUR LES MIGRATIONS;nations_unies;autres;CANADA;tanganyika;kalemie;nyemba;Emergency Response to the displacement crises in Eastern DRC;1100;660;440;;;;1100;;;;assistance_en_ accompagnement assistance_en__2 construction_r appui_en_b_che;1;0;1;0;1;0;0;0;1;0;1;compl_t;nature;;;;;;;;;;;;;;;;;;Wivine Laure MWAMINI;wmwamini@iom.int;810148065;vBi33PnLtfSLCFW7wLUgsr;6032668;ae3fe647-f022-4bfc-8b48-6ecb742528a8;2019-06-14T13:00:20;;5;;;;;;;;;;
14/06/2019;ORGANISATION INTERNATIONALE POUR MIGRATIONS;nations_unies;usaid_ofda;;tanganyika;kalemie;nyemba;RAPID Fund for Eastern DRC;1500;;;;;;NaN;;;;assistance_en_ accompagnement appui_en_b_che;1;0;1;0;0;0;0;0;0;0;1;compl_t;nature;;;;;;;;;;;;;;;;;;Wivine Laure Mwamini;wmwamini@iom.int;810148065;vBi33PnLtfSLCFW7wLUgsr;6032839;0ab4c277-d460-49b7-b00a-2c0d00923c76;2019-06-14T13:22:13;;6;retourn_s;0;1;0;0;0;0;0;0;0
18/06/2019;AFRICAN INITIATIVES FOR RELIEF AND DEVELOPMENT (AIRD);ong_internatio;option_4;;tanganyika;kalemie;makala;CONSTRUCTION DE 600 ABRIS LOCAUX DANS LE TERRITOIRE DE TANGANYIKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NGOYI BUKASA LEON / Database reporting IT officer;leonngoyi@yahoo.fr;815822622;vBi33PnLtfSLCFW7wLUgsr;6079817;bafcc054-e62b-4137-8b16-5ac5fd440a9d;2019-06-19T12:12:57;;7;retourn_s;0;1;0;0;0;0;0;0;0
18/06/2019;OIM;nations_unies;option_2;;nord kivu;kirotshe;rubaya;Contribuer à la protection des déplacés affectés par la crise dans  la Province du Nord Kivu à travers le soutien au processus de relocalisation et l’accompagnement au retour vers leurs zones d’origine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delphin SHUMBUSHA;dshumbusha@iom.int;2,44E+11;vBi33PnLtfSLCFW7wLUgsr;6079869;da87c048-3906-4077-a8eb-1f53bfcff88b;2019-06-19T12:28:03;;8;d_plac_s_inter;1;0;0;0;0;0;0;0;0
20/06/2019;SOLIDARITES INTERNATIONAL;ong_internatio;pooled_fund;;tanganyika;nyemba;tundwa;Intervention en EHA et Abris pour répondre aux besoins multisectoriels générés par les conflits et déplacements dans les zones de retour de la zone de santé de Nyemba, Terriroire de Kalemie Province du Tanganyika;1682;1889;1742;6056;4036;405;14128;581000;$US_projet;;assistance_en__1 accompagnement construction_r;0;1;1;0;0;0;0;0;1;0;0;planifi;;;;;;;;;;;;;;;;;;;Jean-Claude MULENGEZI;kal.rp.eha.abri@solidarites-rdc.org;243 812 335 989;vBi33PnLtfSLCFW7wLUgsr;6089535;32f1b482-c69b-4df8-9018-050a878f523a;2019-06-20T09:39:47;;9;d_plac_s_inter;1;0;0;0;0;0;0;0;0
19/06/2019;OIM;nations_unies;option_2;;nord kivu;masisi;muheto;Contribuer à la protection des déplacés affectés par la crise dans  la Province du Nord Kivu à travers le soutien au processus de relocalisation et l’accompagnement au retour vers leurs zones d’origine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delphin SHUMBUSHA;dshumbusha@iom.int;2,44E+11;vBi33PnLtfSLCFW7wLUgsr;6093007;435df2b5-dc31-4606-83aa-0891c6f3fc89;2019-06-20T14:08:30;;10;d_plac_s_inter;1;0;0;0;0;0;0;0;0
